% x                       y                        z                        abs(c) (mol/m^3) @ t=36000
0.02                      0.22                     0.025                    0.0010528670803581128
0.03                      0.22                     0.025                    0.00180144271963413
0.04                      0.22                     0.025                    0.002260279138221515
0.05                      0.22                     0.025                    0.0026517009514905408
0.06                      0.22                     0.025                    0.0025577812969043456
0.07                      0.22                     0.025                    0.0026775396995269555
0.08                      0.22                     0.025                    0.00300666533064796
0.09                      0.22                     0.025                    0.0026970829782707517
0.1                       0.22                     0.025                    0.0026601898323171474
0.11                      0.22                     0.025                    0.0025768678526224284
0.12                      0.22                     0.025                    0.0024848074620005614
0.13                      0.22                     0.025                    0.0023264345691839227
0.14                      0.22                     0.025                    0.0020089846460059377
0.15                      0.22                     0.025                    0.0019242685216796472
0.16                      0.22                     0.025                    0.001870212586709856
0.17                      0.22                     0.025                    0.00172744866132327
0.18                      0.22                     0.025                    0.0018517187293520916
0.19                      0.22                     0.025                    0.0018536828200106507
0.2                       0.22                     0.025                    0.0011697326995457652
0.21                      0.22                     0.025                    6.667368925049213E-4
0.22                      0.22                     0.025                    2.625578940308615E-4
0.23                      0.22                     0.025                    1.2342660360813848E-4
0                         0.23                     0.025                    1.7387899663566538E-4
0.01                      0.23                     0.025                    6.644174383763207E-5
0.02                      0.23                     0.025                    1.5696499445983324E-4
0.03                      0.23                     0.025                    6.903266852671278E-4
0.04                      0.23                     0.025                    0.0012940134227875724
0.05                      0.23                     0.025                    0.0017207545838286318
0.06                      0.23                     0.025                    0.002117668081419147
0.07                      0.23                     0.025                    0.0023164731460216166
0.08                      0.23                     0.025                    0.0021829362314664436
0.09                      0.23                     0.025                    0.0018016350426418493
0.1                       0.23                     0.025                    0.0013605972936426016
0.11                      0.23                     0.025                    0.0011189831884349426
0.12                      0.23                     0.025                    8.008476586682357E-4
0.13                      0.23                     0.025                    8.207742572539519E-4
0.14                      0.23                     0.025                    0.0011092448731338852
0.15                      0.23                     0.025                    0.0013732821176932304
0.16                      0.23                     0.025                    0.0014519069960724903
0.17                      0.23                     0.025                    0.0013638876189581727
0.18                      0.23                     0.025                    0.0011552248259565324
0.19                      0.23                     0.025                    8.676842757510655E-4
0.2                       0.23                     0.025                    4.0763587247579544E-4
0.21                      0.23                     0.025                    7.453701505977186E-5
0.22                      0.23                     0.025                    8.254284671763272E-5
0.23                      0.23                     0.025                    1.867165819560403E-4
